s 	l 	c 	status	
1	1	2	0	
1	1	3	0	
1	1	4	0	
1	1	5	0	
1	1	6	0	
1	1	7	0	
1	1	8	0	
1	1	9	0	
1	2	1	0	
1	2	2	0	
1	2	3	0	
1	2	4	0	
1	2	5	0	
1	2	6	0	
1	2	7	0	
1	2	8	0	
1	2	9	0	
2	1	1	0	
2	1	2	0	
2	1	3	0	
2	1	4	0	
2	1	5	0	
2	1	6	0	
2	1	7	0	
2	1	8	0	
2	1	9	0	
2	1	10	0	
2	1	11	0	
2	1	12	0	
2	1	13	0	
2	1	14	0	
2	1	15	0	
2	1	16	0	
2	1	17	0	
2	1	18	0	
2	1	19	0	
2	1	20	0	
2	2	1	0	
2	2	2	0	
2	2	3	0	
2	2	4	0	
2	2	5	0	
2	2	6	0	
2	2	7	0	
2	2	8	0	
2	2	9	0	
2	2	10	0	
2	2	11	0	
2	2	12	0	
2	2	13	0	
2	2	14	0	
2	2	15	0	
2	2	16	0	
2	2	17	0	
2	2	18	0	
2	2	19	0	
2	2	20	0	
3	1	1	0	
3	1	2	0	
3	1	3	0	
3	1	4	0	
3	1	5	0	
3	1	6	0	
3	1	7	0	
3	1	8	0	
3	1	9	0	
3	2	1	0	
3	2	2	0	
3	2	3	0	
3	2	4	0	
3	2	5	0	
3	2	6	0	
3	2	7	0	
3	2	8	0	
3	2	9	5	
4	1	1	0	
4	1	2	0	
4	1	3	0	
4	1	4	0	
4	1	5	0	
4	1	6	0	
4	1	7	0	
4	1	8	0	
4	1	9	0	
4	1	10	0	
4	1	11	0	
4	1	12	0	
4	1	13	0	
4	1	14	0	
4	1	15	0	
4	1	16	0	
4	1	17	0	
4	1	18	0	
4	1	19	0	
4	1	20	0	
4	2	1	0	
4	2	2	0	
4	2	3	0	
4	2	4	0	
4	2	5	0	
4	2	6	0	
4	2	7	0	
4	2	8	0	
4	2	9	0	
4	2	10	0	
4	2	11	0	
4	2	12	0	
4	2	13	0	
4	2	14	0	
4	2	15	0	
4	2	16	0	
4	2	17	0	
4	2	18	0	
4	2	19	0	
4	2	20	0	
5	1	1	0	
5	1	2	0	
5	1	3	0	
5	1	4	0	
5	1	5	0	
5	1	6	0	
5	1	7	0	
5	1	8	0	
5	1	9	0	
5	2	1	0	
5	2	2	0	
5	2	3	0	
5	2	4	0	
5	2	5	0	
5	2	6	0	
5	2	7	0	
5	2	8	0	
5	2	9	0	
6	1	1	0	
6	1	2	0	
6	1	3	0	
6	1	4	0	
6	1	5	0	
6	1	6	0	
6	1	7	0	
6	1	8	0	
6	1	9	0	
6	1	10	0	
6	1	11	0	
6	1	12	0	
6	1	13	0	
6	1	14	0	
6	1	15	0	
6	1	16	0	
6	1	17	0	
6	1	18	5	
6	1	19	0	
6	1	20	0	
6	2	1	0	
6	2	2	0	
6	2	3	0	
6	2	4	0	
6	2	5	0	
6	2	6	0	
6	2	7	0	
6	2	8	0	
6	2	9	0	
6	2	10	0	
6	2	11	0	
6	2	12	0	
6	2	13	0	
6	2	14	0	
6	2	15	0	
6	2	16	0	
6	2	17	0	
6	2	18	0	
6	2	19	5	
6	2	20	0	
7	1	1	0	
7	1	2	0	
7	1	3	0	
7	1	4	0	
7	1	5	0	
7	1	6	0	
7	1	7	0	
7	1	8	0	
7	1	9	0	
7	2	1	0	
7	2	2	0	
7	2	3	0	
7	2	4	0	
7	2	5	0	
7	2	6	0	
7	2	7	0	
7	2	8	0	
7	2	9	0	
8	1	1	0	
8	1	2	0	
8	1	3	0	
8	1	4	0	
8	1	5	0	
8	1	6	0	
8	1	7	0	
8	1	8	0	
8	1	9	0	
8	1	10	0	
8	1	11	0	
8	1	12	0	
8	1	13	0	
8	1	14	0	
8	1	15	0	
8	1	16	0	
8	1	17	0	
8	1	18	0	
8	1	19	0	
8	1	20	0	
8	2	1	0	
8	2	2	0	
8	2	3	0	
8	2	4	0	
8	2	5	0	
8	2	6	0	
8	2	7	0	
8	2	8	0	
8	2	9	0	
8	2	10	0	
8	2	11	0	
8	2	12	0	
8	2	13	0	
8	2	14	0	
8	2	15	0	
8	2	16	5	
8	2	17	0	
8	2	18	0	
8	2	19	0	
8	2	20	0	
